user_id,sleep_date,sleep_start_timestamp,sleep_end_timestamp,true_bedtime,true_waketime,bedtime_hour,waketime_hour,total_minutes_asleep,total_time_in_bed,total_sleep_records,minutes_stage1,minutes_stage2,minutes_stage3,percent_stage1,percent_stage2,percent_stage3,sleep_efficiency,user_bedtime_mean_hour,bedtime_variability_hour,sleep_quality_score
1503960366,4/13/2016,4/13/2016 0:00:00,4/13/2016 6:47:00,4/13/2016 3:08:30,4/13/2016 8:20:30,3,8,384,407,2,384,11,12,100,2.864583333,3.125,0.9434889435,1.857142857,1.142857143,0.3785933661
1503960366,4/15/2016,4/15/2016 0:00:00,4/15/2016 7:22:00,4/15/2016 2:59:00,4/15/2016 10:20:00,2,10,412,442,1,412,22,8,100,5.339805825,1.941747573,0.9321266968,1.857142857,0.1428571429,0.3670430084
1503960366,4/16/2016,4/16/2016 0:00:00,4/16/2016 6:07:00,4/16/2016 2:11:00,4/16/2016 6:59:00,2,6,340,367,2,372,20,8,109.4117647,5.882352941,2.352941176,0.9264305177,1.857142857,0.1428571429,0.3464465459
1503960366,4/17/2016,4/17/2016 0:00:00,4/17/2016 11:52:00,4/17/2016 0:00:00,4/17/2016 11:18:00,0,11,700,712,1,668,11,0,95.42857143,1.571428571,0,0.9831460674,1.857142857,-1.857142857,0.3990304976
1503960366,4/19/2016,4/19/2016 0:00:00,4/19/2016 5:20:00,4/19/2016 2:06:30,4/19/2016 7:25:30,2,7,304,320,1,304,16,0,100,5.263157895,0,0.95,1.857142857,0.1428571429,0.37
1503960366,4/20/2016,4/20/2016 0:00:00,4/20/2016 6:17:00,4/20/2016 2:01:00,4/20/2016 8:17:00,2,8,360,377,1,360,14,3,100,3.888888889,0.8333333333,0.9549071618,1.857142857,0.1428571429,0.3762776304
1503960366,4/21/2016,4/21/2016 0:00:00,4/21/2016 6:04:00,4/21/2016 2:32:30,4/21/2016 8:35:30,2,8,325,364,1,325,36,3,100,11.07692308,0.9230769231,0.8928571429,1.857142857,0.1428571429,0.3394065934
1503960366,4/23/2016,4/23/2016 0:00:00,4/23/2016 6:24:00,4/23/2016 2:23:00,4/23/2016 8:46:00,2,8,361,384,1,361,22,1,100,6.094182825,0.2770083102,0.9401041667,1.857142857,0.1428571429,0.3651705332
1503960366,4/24/2016,4/24/2016 0:00:00,4/24/2016 7:29:00,4/24/2016 1:57:30,4/24/2016 9:25:30,1,9,430,449,1,430,19,0,100,4.418604651,0,0.9576837416,1.857142857,-0.8571428571,0.374610245
1503960366,4/25/2016,4/25/2016 0:00:00,4/25/2016 5:23:00,4/25/2016 2:56:00,4/25/2016 8:18:00,2,8,277,323,1,277,40,6,100,14.44043321,2.166064982,0.8575851393,1.857142857,0.1428571429,0.3232153435
1503960366,4/26/2016,4/26/2016 0:00:00,4/26/2016 4:34:00,4/26/2016 3:59:30,4/26/2016 8:32:30,3,8,245,274,1,245,26,3,100,10.6122449,1.224489796,0.8941605839,1.857142857,1.142857143,0.3413943095
1503960366,4/28/2016,4/28/2016 0:00:00,4/28/2016 6:33:00,4/28/2016 2:02:00,4/28/2016 8:34:00,2,8,366,393,1,366,26,1,100,7.103825137,0.2732240437,0.9312977099,1.857142857,0.1428571429,0.3598715221
1503960366,4/29/2016,4/29/2016 0:00:00,4/29/2016 5:54:00,4/29/2016 2:21:30,4/29/2016 8:14:30,2,8,341,354,1,341,13,0,100,3.812316716,0,0.9632768362,1.857142857,0.1428571429,0.3779661017
